case_id,current_profile,ambient_temp,vent_state,door_state,t_fault_start,fault_terminal,supply_mode,source_voltage_nominal,upstream_path_resistance,fault_x_mm,fault_y_mm,fault_z_mm,surface_area,conv_hA,heat_capacity,fuel_mass,burn_rate,contact_ceiling,contact_loosen_scale,oxide_scale,arc_voltage_base,arc_field_v_per_mm,k_arc_ayrton,arc_growth_coeff,arc_rebridge_coeff,arc_energy_zone_low,arc_energy_zone_high,gas_ignition_threshold,min_ignition_duration,min_arc_hold_current,spread_plume_scale,spread_harness_scale,spread_exposure_gain,spread_gas_threshold_scale,spread_temp_threshold_scale,spread_heat_threshold_scale,spread_exposure_threshold_scale,min_spread_signals,spread_current_floor,spread_current_ref_a,spread_current_span_a,ac_source_phase,ac_extinction_voltage,ac_restrike_voltage,ac_reignition_overshoot,ac_phase_extinction_band
DC_CONSTANT,constant,26.0,normal,closed,120.0,KM1_DC,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.10,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1,1.00,0.0,1.0,0.0,7.0,38.0,6.0,0.12
DC_STEP,step,26.0,normal,closed,120.0,KM1_DC,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.10,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1,1.00,0.0,1.0,0.0,7.0,38.0,6.0,0.12
DC_FLUCTUATING,fluctuating,26.0,normal,closed,120.0,KM1_DC,DC,110.0,0.012,300.0,305.0,1215.0,0.0084,0.076,128.0,20.0,0.125,0.45,1.15,1.10,17.0,8.4,14.0,0.0038,0.12,520.0,1180.0,16.0,1.1,1.1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1,1.00,0.0,1.0,0.0,7.0,38.0,6.0,0.12
AC_CONSTANT,constant,26.0,normal,closed,120.0,KM1_AC,AC,110.0,0.035,455.0,248.0,1095.0,0.0108,0.104,92.0,15.5,0.088,0.35,0.96,0.92,20.5,10.8,8.8,0.0025,0.26,630.0,1515.0,19.0,2.4,0.7,0.58,0.42,0.36,1.12,1.30,1.42,3.60,2,0.90,20.0,10.0,0.17453292519943295,7.0,38.0,6.0,0.12
AC_STEP,step,26.0,normal,closed,120.0,KM1_AC,AC,110.0,0.035,455.0,248.0,1095.0,0.0108,0.104,92.0,15.5,0.088,0.35,0.96,0.92,20.5,10.8,8.8,0.0025,0.26,630.0,1515.0,19.0,2.4,0.7,0.58,0.42,0.36,1.12,1.30,1.42,3.60,2,0.90,20.0,10.0,0.17453292519943295,7.0,38.0,6.0,0.12
AC_FLUCTUATING,fluctuating,26.0,normal,closed,120.0,KM1_AC,AC,110.0,0.035,455.0,248.0,1095.0,0.0108,0.104,92.0,15.5,0.088,0.35,0.96,0.92,20.5,10.8,8.8,0.0025,0.26,630.0,1515.0,19.0,2.4,0.7,0.58,0.42,0.36,1.12,1.30,1.42,3.60,2,0.90,20.0,10.0,0.17453292519943295,7.0,38.0,6.0,0.12

